url,domain,path,category,include_in_mvp,discovered_from,discovered_at
https://monzo.com/blog/2016/08/25/monzo,monzo.com,/blog/2016/08/25/monzo,blog,False,https://monzo.com/gb-sitemap.xml,2026-08-16T18:47:09.246728+00:00
https://monzo.com/blog/2016/08/26/how-we-picked-monzo,monzo.com,/blog/2016/08/26/how-we-picked-monzo,blog,False,https://monzo.com/gb-sitemap.xml,2026-08-16T18:47:09.246728+00:00
https://monzo.com/blog/2016/09/07/our-approach-to-overdrafts,monzo.com,/blog/2016/09/07/our-approach-to-overdrafts,blog,False,https://monzo.com/gb-sitemap.xml,2026-08-16T18:47:09.246728+00:00
https://monzo.com/blog/2016/09/12/1-6-3,monzo.com,/blog/2016/09/12/1-6-3,blog,False,https://monzo.com/gb-sitemap.xml,2026-08-16T18:47:09.246728+00:00
https://monzo.com/blog/2016/09/19/building-a-modern-bank-backend,monzo.com,/blog/2016/09/19/building-a-modern-bank-backend,blog,False,https://monzo.com/gb-sitemap.xml,2026-08-16T18:47:09.246728+00:00
https://monzo.com/blog/2016/09/20/monzo-journals-philippines,monzo.com,/blog/2016/09/20/monzo-journals-philippines,blog,False,https://monzo.com/gb-sitemap.xml,2026-08-16T18:47:09.246728+00:00
https://monzo.com/blog/2016/09/29/android,monzo.com,/blog/2016/09/29/android,blog,False,https://monzo.com/gb-sitemap.xml,2026-08-16T18:47:09.246728+00:00
https://monzo.com/blog/2016/10/19/target-practice,monzo.com,/blog/2016/10/19/target-practice,blog,False,https://monzo.com/gb-sitemap.xml,2026-08-16T18:47:09.246728+00:00
https://monzo.com/blog/2016/10/26/card-replacement-android,monzo.com,/blog/2016/10/26/card-replacement-android,blog,False,https://monzo.com/gb-sitemap.xml,2026-08-16T18:47:09.246728+00:00
https://monzo.com/blog/2016/11/04/living-wage,monzo.com,/blog/2016/11/04/living-wage,blog,False,https://monzo.com/gb-sitemap.xml,2026-08-16T18:47:09.246728+00:00
https://monzo.com/blog/2016/11/14/spending-android,monzo.com,/blog/2016/11/14/spending-android,blog,False,https://monzo.com/gb-sitemap.xml,2026-08-16T18:47:09.246728+00:00
https://monzo.com/blog/2016/11/30/laying-the-foundation-for-a-data-team,monzo.com,/blog/2016/11/30/laying-the-foundation-for-a-data-team,blog,False,https://monzo.com/gb-sitemap.xml,2026-08-16T18:47:09.246728+00:00
https://monzo.com/blog/2017/01/16/app-shortcuts-android,monzo.com,/blog/2017/01/16/app-shortcuts-android,blog,False,https://monzo.com/gb-sitemap.xml,2026-08-16T18:47:09.246728+00:00
https://monzo.com/blog/2017/01/24/100000th-user,monzo.com,/blog/2017/01/24/100000th-user,blog,False,https://monzo.com/gb-sitemap.xml,2026-08-16T18:47:09.246728+00:00
https://monzo.com/blog/2017/01/26/our-new-community-page,monzo.com,/blog/2017/01/26/our-new-community-page,blog,False,https://monzo.com/gb-sitemap.xml,2026-08-16T18:47:09.246728+00:00
https://monzo.com/blog/2017/01/27/designing-product-mental-health-mind,monzo.com,/blog/2017/01/27/designing-product-mental-health-mind,blog,False,https://monzo.com/gb-sitemap.xml,2026-08-16T18:47:09.246728+00:00
https://monzo.com/blog/2017/01/31/fincrime-and-security-week-introduction,monzo.com,/blog/2017/01/31/fincrime-and-security-week-introduction,blog,False,https://monzo.com/gb-sitemap.xml,2026-08-16T18:47:09.246728+00:00
https://monzo.com/blog/2017/02/01/natasha-profile,monzo.com,/blog/2017/02/01/natasha-profile,blog,False,https://monzo.com/gb-sitemap.xml,2026-08-16T18:47:09.246728+00:00
https://monzo.com/blog/2017/02/03/fighting-fraud-with-machine-learning,monzo.com,/blog/2017/02/03/fighting-fraud-with-machine-learning,blog,False,https://monzo.com/gb-sitemap.xml,2026-08-16T18:47:09.246728+00:00
https://monzo.com/blog/2017/02/08/meet-irina,monzo.com,/blog/2017/02/08/meet-irina,blog,False,https://monzo.com/gb-sitemap.xml,2026-08-16T18:47:09.246728+00:00
